Commune,Commune id,Region,Region id
Bodø,1804,Nordland,18
Narvik,1805,Nordland,18
Bindal,1811,Nordland,18
Sømna,1812,Nordland,18
Brønnøy,1813,Nordland,18
Vega,1815,Nordland,18
Vevelstad,1816,Nordland,18
Herøy,1818,Nordland,18
Alstahaug,1820,Nordland,18
Leirfjord,1822,Nordland,18
Vefsn,1824,Nordland,18
Grane,1825,Nordland,18
Hattfjelldal,1826,Nordland,18
Dønna,1827,Nordland,18
Nesna,1828,Nordland,18
Hemnes,1832,Nordland,18
Rana,1833,Nordland,18
Lurøy,1834,Nordland,18
Træna,1835,Nordland,18
Rødøy,1836,Nordland,18
Meløy,1837,Nordland,18
Gildeskål,1838,Nordland,18
Beiarn,1839,Nordland,18
Saltdal,1840,Nordland,18
Fauske – Fuossko,1841,Nordland,18
Sørfold,1845,Nordland,18
Steigen,1848,Nordland,18
Hamarøy,1849,Nordland,18
Tysfjord,1850,Nordland,18
Lødingen,1851,Nordland,18
Tjeldsund,1852,Nordland,18
Evenes,1853,Nordland,18
Ballangen,1854,Nordland,18
Røst,1856,Nordland,18
Værøy,1857,Nordland,18
Flakstad,1859,Nordland,18
Vestvågøy,1860,Nordland,18
Vågan,1865,Nordland,18
Hadsel,1866,Nordland,18
Bø,1867,Nordland,18
Øksnes,1868,Nordland,18
Sortland,1870,Nordland,18
Andøy,1871,Nordland,18
Moskenes,1874,Nordland,18
Harstad,1903,Troms – Romsa,19
Tromsø,1902,Troms – Romsa,19
Kvæfjord,1911,Troms – Romsa,19
Skånland,1913,Troms – Romsa,19
Ibestad,1917,Troms – Romsa,19
Gratangen,1919,Troms – Romsa,19
Loabák – Lavangen,1920,Troms – Romsa,19
Bardu,1922,Troms – Romsa,19
Salangen,1923,Troms – Romsa,19
Målselv,1924,Troms – Romsa,19
Sørreisa,1925,Troms – Romsa,19
Dyrøy,1926,Troms – Romsa,19
Tranøy,1927,Troms – Romsa,19
Torsken,1928,Troms – Romsa,19
Berg,1929,Troms – Romsa,19
Lenvik,1931,Troms – Romsa,19
Balsfjord,1933,Troms – Romsa,19
Karlsøy,1936,Troms – Romsa,19
Lyngen,1938,Troms – Romsa,19
Storfjord – Omasvuotna – Omasvuono,1939,Troms – Romsa,19
Gáivuotna – Kåfjord – Kaivuono,1940,Troms – Romsa,19
Skjervøy,1941,Troms – Romsa,19
Nordreisa,1942,Troms – Romsa,19
Kvænangen,1943,Troms – Romsa,19
Vardø,2002,Finnmark – Finnmárku,20
Vadsø,2003,Finnmark – Finnmárku,20
Hammerfest,2004,Finnmark – Finnmárku,20
Guovdageaidnu – Kautokeino,2011,Finnmark – Finnmárku,20
Alta,2012,Finnmark – Finnmárku,20
Loppa,2014,Finnmark – Finnmárku,20
Hasvik,2015,Finnmark – Finnmárku,20
Kvalsund,2017,Finnmark – Finnmárku,20
Måsøy,2018,Finnmark – Finnmárku,20
Nordkapp,2019,Finnmark – Finnmárku,20
Porsanger – Porsá?gu – Porsanki,2020,Finnmark – Finnmárku,20
Kárášjohka – Karasjok,2021,Finnmark – Finnmárku,20
Lebesby,2022,Finnmark – Finnmárku,20
Gamvik,2023,Finnmark – Finnmárku,20
Berlevåg,2024,Finnmark – Finnmárku,20
Deatnu – Tana,2025,Finnmark – Finnmárku,20
Unjárga – Nesseby,2027,Finnmark – Finnmárku,20
Båtsfjord,2028,Finnmark – Finnmárku,20
Sør-Varanger,2030,Finnmark – Finnmárku,20
